District,Area,Post Code,Home Delivery,Lockdown,Charge(1kg),Charge(2kg),Charge(3kg),COD Charge
Dhaka,Kachkura(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Helal Market(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Chamur Khan(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Army housing Society(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Ismailkholla(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Masterpara(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Khilgaon C Block (Dhaka),,Yes,No,65,80,95,0%
Dhaka,Barua(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Namapara (Khilkhet),,Yes,No,65,80,95,0%
Dhaka,Ahalia (Uttara Sector-14),,Yes,No,65,80,95,0%
Dhaka,Ainusbag-Dakshinkhan,,Yes,No,65,80,95,0%
